competition_ID,season,name,category,country,start_date,end_date,weapon,gender,timezone,url,unique_ID,missing_results_flag
280,2003,Championnats Panaméricains S,Senior,DOMINICAN REPUBLIC,2003-08-02,2003-08-07,Foil,Mens,America/Santo_Domingo,https://fie.org/competitions/2003/280,2003-280,no pools data
1330,2019,Tournoi Satelite,Senior,GREAT BRITAIN,2018-10-13,2018-10-13,Foil,Mens,Europe/London,https://fie.org/competitions/2019/1330,2019-1330,
46,2003,Steinfurter Schloss,Junior,GERMANY,2002-11-03,2002-11-03,Foil,Mens,Europe/Berlin,https://fie.org/competitions/2003/46,2003-46,no pools data
392,2018,Tournoi Satellite,Senior,GREAT BRITAIN,2017-09-17,2017-09-17,Foil,Mens,Europe/London,https://fie.org/competitions/2018/392,2018-392,
45,2013,Memorial de Martinengo,Junior,SLOVAKIA,2012-11-17,2012-11-17,Foil,Mens,Europe/Bratislava,https://fie.org/competitions/2013/45,2013-45,no pools data
766,2020,Championnats asiatiques cadets,Cadet,JORDAN,2020-02-27,2020-02-27,Foil,Mens,Asia/Amman,https://fie.org/competitions/2020/766,2020-766,no pools data
137,2008,Tournoi Ciudad de A Coruña,Senior,SPAIN,2008-02-02,2008-02-03,Foil,Mens,Europe/Madrid,https://fie.org/competitions/2008/137,2008-137,no pools data
54,2007,Trophée Citta di Como,Junior,ITALY,2007-01-28,2007-01-28,Foil,Mens,Europe/Rome,https://fie.org/competitions/2007/54,2007-54,no pools data
766,2013,Championnats asiatiques cadets,Cadet,INDONESIA,2012-10-01,2012-10-09,Foil,Mens,Asia/Hong_Kong,https://fie.org/competitions/2013/766,2013-766,no pools data
382,2005,Eden Cup,Junior,GREAT BRITAIN,2004-10-23,2004-10-23,Foil,Mens,Europe/London,https://fie.org/competitions/2005/382,2005-382,no pools data
226,1974,Championnats du Monde,Junior,TURKEY,1974-04-12,1974-04-15,Foil,Mens,Europe/Istanbul,https://fie.org/competitions/1974/226,1974-226,no pools data
858,2011,Championnats d'Afrique juniors,Junior,SOUTH AFRICA,2010-12-11,2010-12-16,Foil,Mens,Africa/Johannesburg,https://fie.org/competitions/2011/858,2011-858,no pools data
1074,2021,Championnats de qualification panaméricains,Senior,COSTA RICA,2021-05-02,2021-05-02,Foil,Mens,America/Costa_Rica,https://fie.org/competitions/2021/1074,2021-1074,
135,2020,Coupe du Monde,Senior,GERMANY,2019-11-08,2019-11-09,Foil,Mens,Europe/Berlin,https://fie.org/competitions/2020/135,2020-135,
49,2017,Alpe Adria,Junior,ITALY,2017-02-17,2017-02-17,Foil,Mens,Europe/Rome,https://fie.org/competitions/2017/49,2017-49,
398,2018,Memorial de Martinengo Tournoi,Senior,SLOVAKIA,2017-11-18,2017-11-19,Foil,Mens,Europe/Bratislava,https://fie.org/competitions/2018/398,2018-398,
244,1973,Championnats du Monde,Senior,SWEDEN,1973-06-10,1973-06-24,Foil,Mens,Europe/Stockholm,https://fie.org/competitions/1973/244,1973-244,no pools data
48,2009,Torneo Comunidad de Madrid,Junior,SPAIN,2008-11-15,2008-11-15,Foil,Mens,Europe/Madrid,https://fie.org/competitions/2009/48,2009-48,no pools data
1219,2020,Tournoi satellite,Senior,MEXICO,2019-09-29,2019-09-29,Foil,Mens,America/Mexico_City,https://fie.org/competitions/2020/1219,2020-1219,
48,2008,Torneo Comunidad de Madrid,Junior,SPAIN,2007-11-17,2007-11-17,Foil,Mens,Europe/Madrid,https://fie.org/competitions/2008/48,2008-48,no pools data
391,2020,Tournoi satellite,Senior,SLOVAKIA,2019-09-14,2019-09-14,Foil,Mens,Europe/Bratislava,https://fie.org/competitions/2020/391,2020-391,
798,2011,Championnats Panaméricains,Senior,USA,2011-07-04,2011-07-09,Foil,Mens,America/Los_Angeles,https://fie.org/competitions/2011/798,2011-798,no pools data
